"","topic","term","beta"
"432",9,"inside",0.00285395279615868
"433",9,"sweet",0.00284882534277222
"434",9,"visit",0.00279402782886198
"435",9,"pretty",0.00274755848824499
"436",9,"french",0.00269788749905341
"437",9,"feel",0.00260269684263048
"438",9,"taste",0.00250702789867965
"439",9,"friend",0.00249756651236134
"440",9,"quality",0.00245014345344033
"441",9,"excellent",0.0024051125509593
"442",9,"huge",0.00237691833880154
"443",9,"flavor",0.00237085801326577
"444",9,"minutes",0.00232805232118025
"445",9,"hot",0.00231772240662914
"446",9,"dining",0.00231700611489878
"447",9,"awesome",0.00230089601531035
"448",9,"meal",0.00227597549563508
"449",9,"happy",0.00224723523390585
"450",9,"prices",0.00224501113236105
"451",10,"food",0.0148568417913013
"452",10,"breakfast",0.0111497498420415
"453",10,"time",0.0101253193280426
"454",10,"restaurant",0.00805053370879567
"455",10,"menu",0.00789234144118063
"456",10,"service",0.00757548055122263
"457",10,"eat",0.00752100740999902
"458",10,"delicious",0.00736647491142569
"459",10,"sandwich",0.00695195317646352
"460",10,"bar",0.00687186079078333
"461",10,"meal",0.00586828584673626
"462",10,"fresh",0.00580634195400785
"463",10,"love",0.00577330795935106
"464",10,"salad",0.00477530260872155
"465",10,"coffee",0.00463919171289261
"466",10,"eggs",0.00454573744082835
"467",10,"cheese",0.00440144978734049
"468",10,"nice",0.00434985274376251
"469",10,"amazing",0.00426270714499044
"470",10,"bit",0.0041881139083117
"471",10,"flavor",0.00409390514908419
"472",10,"server",0.00398018742838534
"473",10,"quality",0.00384046915079666
"474",10,"bacon",0.00377971623033502
"475",10,"toast",0.00355651814957954
"476",10,"perfect",0.00351969639007977
"477",10,"drinks",0.00350373055300198
"478",10,"french",0.00334546856009796
"479",10,"tables",0.00323163713713034
"480",10,"burger",0.00322120017365275
"481",10,"bad",0.00319630191207937
"482",10,"items",0.00316737170495247
"483",10,"visit",0.00287822706203041
"484",10,"recommend",0.00283646190665249
"485",10,"coming",0.00281181504613657
"486",10,"review",0.00275595801041475
"487",10,"super",0.00270005914419271
"488",10,"hour",0.0026905504429512
"489",10,"eating",0.00267652615834269
"490",10,"table",0.00261587781243583
"491",10,"fries",0.00259126435160764
"492",10,"pretty",0.00258135417515316
"493",10,"30",0.00248919836772188
"494",10,"tasty",0.00246658373887268
"495",10,"cooked",0.00237681853486794
"496",10,"meat",0.00234546244636933
"497",10,"inside",0.00214317011161994
"498",10,"enjoy",0.00213888950678733
"499",10,"options",0.00211714090568013
"500",10,"dinner",0.0021139268002898
