word,n
mom,1418
stand,1413
lady,1407
treat,1398
bites,1395
cheddar,1389
beers,1386
mention,1385
thinking,1384
greasy,1383
nicely,1381
greens,1380
wings,1378
covered,1376
mushrooms,1375
donut,1372
finished,1370
yum,1369
owners,1368
hands,1366
casual,1365
pudding,1365
mary,1363
generous,1362
terrible,1361
crisp,1359
tasting,1359
gluten,1358
hear,1357
lettuce,1357
interior,1356
bakery,1351
menus,1351
poached,1347
italian,1345
slice,1343
chili,1337
worst,1329
strawberry,1323
buffet,1319
employees,1319
heavy,1318
juicy,1318
card,1317
low,1313
limited,1312
true,1311
fairly,1308
talking,1306
slices,1305
popular,1302
months,1301
attention,1299
daily,1298
spots,1297
toasted,1294
charge,1289
bottle,1284
window,1281
view,1280
ahead,1274
brown,1274
santa,1265
reading,1264
tastes,1261
dark,1260
included,1256
club,1255
typical,1253
pulled,1248
center,1247
joint,1246
level,1246
heart,1245
crazy,1240
beach,1237
bun,1236
car,1236
beignets,1230
checked,1228
mimosas,1222
weird,1222
yeah,1218
happened,1213
gem,1212
fair,1208
paying,1204
write,1204
scrambled,1203
walls,1202
bathroom,1200
pricey,1199
issue,1193
lol,1186
mushroom,1182
usual,1178
forget,1175
mentioned,1175
guys,1173
chorizo,1172
goodness,1172
poor,1172
word,1172
45,1171
rib,1168
lamb,1166
dirty,1162
25,1160
damn,1159
future,1158
bright,1155
closed,1150
cuban,1150
phone,1149
takes,1147
lobster,1143
seats,1143
goat,1140
tuna,1136
cash,1134
barbara,1131
sad,1131
crunchy,1129
hate,1128
jam,1128
chairs,1126
crust,1126
disappointing,1125
outstanding,1125
dine,1121
bed,1119
crepe,1119
modern,1119
surprise,1117
kinda,1114
tucson,1113
diners,1111
expecting,1111
mediocre,1107
sour,1107
guests,1105
patrons,1103
oil,1102
buy,1101
offers,1101
welcoming,1101
gumbo,1100
eye,1096
school,1095
opinion,1093
imagine,1092
vanilla,1092
plain,1090
incredibly,1089
nearby,1087
sized,1085
belly,1084
blueberry,1084
matter,1080
cost,1079
pastry,1079
total,1078
rare,1076
moist,1071
game,1068
horrible,1066
maple,1060
quarter,1059
hollandaise,1058
dip,1056
chain,1055
met,1053
original,1053
pass,1053
lack,1051
overly,1051
50,1050
shot,1049
prefer,1048
favorites,1043
muffin,1043
cheesesteak,1042
foods,1042
event,1040
spend,1040
garden,1039
espresso,1038
forgot,1038
lived,1036
combo,1033
heat,1032
lucky,1029
attitude,1028
plan,1028
bourbon,1024
changed,1021
philadelphia,1021
moved,1020
kick,1019
daughter,1018
weekends,1017
conversation,1015
delivered,1015
refreshing,1015
art,1014
deli,1013
leaving,1012
presentation,1012
station,1012
spice,1011
weeks,1006
picked,1003
combination,997
glasses,997
melted,995
summer,994
raw,992
rolls,992
rush,991
crepes,990
barely,987
watching,987
cooking,985
sliced,983
fat,982
rating,981
stayed,981
overpriced,980
craving,979
wrap,979
croissant,978
baby,976
woman,974
platter,972
running,971
fabulous,969
basic,968
box,961
board,957
cookies,956
expectations,955
authentic,954
road,950
die,946
sauces,946
famous,942
sister,941
smile,941
returning,940
fare,939
meet,937
quiet,937
toppings,937
eyes,934
mashed,934
book,933
double,932
version,931
spent,930
missing,927
vegetables,926
serves,923
sprouts,921
moment,919
sense,918
spread,917
40,911
cookie,911
personal,909
supposed,907
mood,906
weather,906
avoid,904
upstairs,904
pickles,902
100,901
pot,901
tortilla,901
heaven,898
bag,897
management,896
frozen,894
playing,894
comfort,892
decide,892
feels,892
difficult,888
host,886
tap,885
offerings,881
satisfied,878
covid,877
west,877
pop,876
bunch,875
multiple,874
ribs,873
notch,872
normal,871
deep,870
drinking,870
booth,869
café,868
locals,868
mimosa,868
guacamole,864
happen,863
bean,862
whipped,862
meats,860
dozen,858
pleased,858
mustard,857
round,856
checking,854
inn,846
freshly,845
seasoning,845
fork,843
visits,843
month,842
pictures,842
buttery,841
concept,839
air,835
bell,835
honest,835
soggy,835
complete,834
coconut,832
break,830
credit,830
hubby,830
surprisingly,829
enjoying,828
delightful,827
efficient,827
creative,826
gorgeous,824
online,824
larger,819
son,819
bananas,816
cheesy,816
complaint,816
suggested,815
peanut,812
stick,812
app,811
prime,811
corned,810
tough,810
complimentary,807
phenomenal,807
realized,806
windows,806
hearty,803
questions,803
awful,802
locations,802
register,802
caramel,800
straight,800
actual,799
hold,798
previous,798
tons,798
mess,797
beat,794
booths,794
hoping,794
mayo,794
wood,792
greek,791
odd,789
setting,789
english,786
standing,786
block,785
brisket,784
paper,784
kid,783
mini,783
picture,782
cups,781
provided,781
returned,781
scene,781
disappoint,780
strip,778
update,778
cuisine,775
appreciated,773
cauliflower,773
kale,773
soups,773
organic,771
pecan,771
scallops,771
refills,770
hidden,769
forever,767
dough,765
hang,765
save,765
hey,764
hipster,764
loaded,764
sounds,764
ton,763
lime,762
staying,761
arrive,759
flat,759
monday,759
personally,757
pickled,757
nachos,756
square,755
melt,754
pumpkin,752
patty,751
cajun,750
living,747
sounded,747
