word,n
smelt,7
tuber,7
agents,6
potsticker,6
shortening,6
shoyu,6
stinging,6
confectionery,5
ferns,5
flours,5
ostrich,5
prune,5
soymilk,5
squab,5
winged,5
yogurts,5
caribou,4
carob,4
custards,4
gooseberries,4
headcheese,4
kohlrabi,4
novelties,4
sherbet,4
spelt,4
steelhead,4
chayote,3
clementines,3
cockles,3
gourd,3
liverwurst,3
nectarines,3
raab,3
soybeans,3
acerola,2
amaranth,2
braunschweiger,2
crustaceans,2
epazote,2
frankfurter,2
groats,2
huckleberries,2
jellyfish,2
knackwurst,2
lambs,2
mutton,2
nettles,2
prunes,2
purslane,2
rojos,2
soursop,2
soybean,2
walrus,2
apache,1
arrowroot,1
besan,1
bockwurst,1
carissa,1
cherimoya,1
chrysanthemum,1
cress,1
emu,1
frybread,1
horned,1
isolate,1
jute,1
kumquats,1
leavening,1
malabar,1
millet,1
mollusks,1
mungo,1
papad,1
pectin,1
persimmons,1
rutabagas,1
salsify,1
spearmint,1
tangerines,1
