topic,term,beta
2,lime,3.6847185950175703e-4
3,lime,5.836314663476297e-5
4,lime,1.6090921143284057e-4
1,biscuits,0.0011698795002790946
2,biscuits,0.0015520034956120116
3,biscuits,4.7354463186806406e-4
4,biscuits,2.647755160468875e-4
1,chorizo,2.695611489237683e-4
2,chorizo,4.3150900290748237e-4
3,chorizo,5.114064668043769e-4
4,chorizo,6.7556640682052285e-6
1,salt,2.2586688213291697e-4
2,salt,8.100772280624017e-5
3,salt,8.351688007217494e-4
4,salt,6.195555105497543e-4
1,veal,5.770665542026442e-5
2,veal,1.4796688304336526e-5
3,veal,1.0449569343173157e-4
4,veal,9.168433123920763e-6
1,potatoes,9.726761733613841e-4
2,potatoes,0.0012287894323227391
3,potatoes,0.001227355635377226
4,potatoes,0.0022490700554226237
1,pickles,3.2757166966851386e-4
2,pickles,6.574859873767554e-5
3,pickles,2.1774091456804902e-4
4,pickles,3.2731833232443473e-4
1,buffalo,3.408208448647064e-4
2,buffalo,2.4372996061339475e-4
3,buffalo,6.9394720295905966e-6
4,buffalo,2.1105024048707303e-5
1,cream,8.926622374662387e-4
2,cream,8.856989863336905e-4
3,cream,0.002873236912324349
4,cream,0.0015110782375191208
1,greens,5.975752729896948e-4
2,greens,2.7720928714036313e-4
3,greens,9.388331989795635e-5
4,greens,4.670083435481769e-4
1,shakes,8.877007451315714e-5
2,shakes,1.5053693955725811e-5
3,shakes,1.758284597131948e-4
4,shakes,1.0510071074519641e-5
1,oil,1.2756608552987072e-4
2,oil,1.261998918739992e-4
3,oil,3.514931026744677e-4
4,oil,5.416166801048042e-4
1,milk,3.117603252669699e-5
2,milk,7.523604079329557e-4
3,milk,1.537316178110746e-4
4,milk,8.773208928381922e-4
1,muffins,3.280775163896996e-5
2,muffins,2.232722339325746e-4
3,muffins,1.6388988307882755e-4
4,muffins,2.4409146289165233e-4
1,beef,0.0020566407908190927
2,beef,0.0011931746218027835
3,beef,3.059278767151806e-4
4,beef,6.381769866204076e-4
1,corned,9.127208990666535e-5
2,corned,1.541274483882227e-4
3,corned,2.681168140917526e-4
4,corned,3.2944565774442554e-4
1,duck,1.1179270560817328e-4
2,duck,6.474037845212903e-4
3,duck,6.355589056354515e-4
4,duck,1.765594682673171e-4
1,smoothie,2.182287691887334e-5
2,smoothie,1.9254304336335817e-4
3,smoothie,1.6712805189847554e-4
4,smoothie,1.0140375680126204e-4
1,macaroni,9.372049671076748e-5
2,macaroni,1.6750035228176038e-4
3,macaroni,3.5966203190642664e-5
4,macaroni,3.8890927039665514e-5
1,chips,8.624618101204593e-4
2,chips,9.156027228453532e-4
3,chips,2.317062191396068e-5
4,chips,0.0014290597319126482
1,cinnamon,2.9320753824345683e-4
2,cinnamon,3.1565486414666466e-4
3,cinnamon,6.686951357698697e-4
4,cinnamon,5.05889678531207e-4
1,spread,2.8140634602931034e-4
2,spread,2.4859515850908384e-4
3,spread,3.41868895997771e-4
4,spread,8.20346755276419e-5
1,shake,1.6125476622813988e-4
2,shake,1.8028218972310626e-4
3,shake,2.1714023620140706e-4
4,shake,1.404922834991937e-4
1,vegetarian,3.83085737601042e-5
2,vegetarian,3.649856867371341e-4
3,vegetarian,2.90535475436419e-4
4,vegetarian,0.001092591881743683
1,whiskey,7.013030495677302e-5
2,whiskey,1.812933397272009e-5
3,whiskey,1.8223898288282744e-4
4,whiskey,2.1025471502320205e-4
1,pumpkin,1.6694644726022945e-5
2,pumpkin,2.5788901995555617e-4
3,pumpkin,3.031608290037896e-4
4,pumpkin,2.0490007479156443e-4
1,mother's,1.991398799793307e-4
2,mother's,1.8066144402051275e-4
3,mother's,3.231856321156776e-5
4,mother's,1.1223121164309357e-4
1,dressing,6.851057597560148e-4
2,dressing,2.440899475969116e-6
3,dressing,8.755556249910936e-4
4,dressing,7.26162316798602e-5
1,beans,0.00022901937702095115
2,beans,0.0014288202091800176
3,beans,1.1713028407893831e-5
4,beans,0.0014087771464523044
1,tortilla,2.825601775918654e-4
2,tortilla,2.599361534457784e-4
3,tortilla,2.662205716605556e-4
4,tortilla,1.2860273602206481e-4
1,meatloaf,4.1405359168827824e-4
2,meatloaf,2.679529022033536e-6
3,meatloaf,7.042138929993168e-5
4,meatloaf,2.2205999736623207e-5
1,corn,8.449961832173569e-4
2,corn,1.3545686237762813e-4
3,corn,4.772158667335154e-4
4,corn,7.321104309930597e-4
1,foie,8.342982620063483e-5
2,foie,9.411315968598047e-5
3,foie,3.904786804359357e-5
4,foie,5.183864546373523e-5
